question,body,A,B,C,D,E
QUESTÃO 159,"Um professor, para promover a aprendizagem dos estudantes em estatística, propôs uma atividade. O objetivo era verificar o percentual de estudantes com massa corporal abaixo da média e altura acima da média de um grupo de estudantes. Para isso, usando uma balança e uma fita métrica, avaliou uma amostra de dez estudantes, anotando as medidas observadas. O gráfico apresenta a massa corporal, em quilograma, e a altura, em metro, obt idas na atividade.  Descrição do gráfico: Gráfico de pontos com o eixo horizontal indicando a massa corporal, em quilograma; e o eixo vertical, a altura, em metro.  Os pontos do gráfico têm as seguintes coordenadas:  Ponto 1: (50; 1,6)  Ponto 2: (58; 1,65)  Ponto 3: (60; 1,65)  Ponto 4: (63; 1,68)  Ponto 5: (70; 1,7)  Ponto 6: (85; 1,5) Ponto 7: (85; 1,65)  Ponto 8: (90; 1,63)  Ponto 9: (108; 1,75)  Ponto 10: (120; 1,7) (Fim da descrição)    Após a coleta dos dados, os estudantes calcularam a média dos valores obtidos, referentes à massa corporal e à altura, obtendo, respectivamente,  80 quilogramas e 1,65 metro .  Qual é o percentual de estudantes dessa amostra com massa corporal abaixo da média e altura acima da média?",10,20,30,50,70
QUESTÃO 160,"Um pescador tem um custo fixo diário de 900 reais com combustível, iscas, manutenção de seu barco e outras pequenas despesas. Ele vende cada quilograma de peixe por 5 reais . Sua meta é obter um lucro mínimo de  800 reais por dia. Sozinho, ele consegue, ao final de um dia de trabalho, pescar 180 quilogramas de peixe, o que é suficiente apenas para cobrir o custo fixo diário. Portanto, precisa contratar ajudantes, pagando para cada um 250 reais por dia de trabalho. Além desse valor, 4 por cento da receita obti da pela venda de peixe é repartida igualmente entre os ajudantes. Considerando o tamanho de seu barco, ele pode contratar até 5 ajudantes. Ele sabe que com um ajudante a pesca diária é de 300 quilogramas e que, a partir do segundo ajudante contratado, aumenta-se em 100 quilogramas a quantidade de peixe pescada por ajudante em um dia de trabalho.  A quantidade mínima de ajudantes que esse pescador precisa contratar para conseguir o lucro diário pretendido é",1.,2.,3.,4.,5.
QUESTÃO 161,"Um agricultor é informado sobre um método de proteção para sua lavoura que consiste em inserir larvas específicas, de rápida reprodução. A reprodução dessas larvas faz com que sua população multiplique-se por 10 a cada 3 dias e, para evitar eventuais desequilíbrios, é possível cessar essa reprodução aplicando-se um produto X. O agricultor decide iniciar esse método com 100 larvas e dispõe de 5 litros do produto X, cuja aplicação recomendada é de exatamente 1 litro para cada população de 200.000 larvas. A quantidade total do produto X de que ele dispõe deverá ser aplicada de uma única vez.  Quantos dias após iniciado esse método o agricultor deverá aplicar o produto X?",2,4,6,12,18
QUESTÃO 162,"Ao realizar o cadastro em um aplicativo de investimentos, foi solicitado ao usuário que criasse uma senha, sendo permitido o uso somente dos seguintes caracteres:  algarismos de 0 a 9; 26 letras minúsculas do alfabeto; 26 letras maiúsculas do alfabeto;  6 caracteres especiais: exclamação, arroba, hashtag, cifrão, asterisco,  e comercial.  Três tipos de estruturas para senha foram apresentadas ao usuário:  tipo 1: formada por quaisquer quatro caracteres distintos, escolhidos dentre os permitidos;  tipo 2: formada por cinco caracteres distintos, iniciando por três letras, seguidas por um algarismo e, ao final, um caractere especial;  tipo 3: formada por seis caracteres distintos, iniciando por duas letras, seguidas por dois algarismos e, ao final, dois caracteres especiais.   Considere p índice 1, p índice 2 e p índice 3 as probabilidades de se descobrirem ao acaso, na primeira tentativa, as senhas dos tipos 1 , 2 e 3, respectivamente.  Nessas condições, o tipo de senha que apresenta a menor probabilidade de ser descoberta ao acaso, na primeira tentativa, é o","tipo 1, pois p índice 1 menor que p índice 2 menor que p índice 3 .","tipo 1, pois tem menor quantidade de caracteres.","tipo 2, pois tem maior quantidade de letras.","tipo 3, pois p índice 3 menor que p índice 2 menor que p índice 1 .","tipo 3, pois tem maior quantidade de caracteres."
QUESTÃO 163,"Em primeiro de junho, um canil que cria 98 cães tem, em estoque, a quantidade exata de ração para fornecer, diariamente, 1000 gramas para cada animal durante 30 dias. No início do décimo primeiro dia o canil recebeu dois novos cães. Com isso, a quantidade de ração diária por animal teve que ser recalculada para que o restante de ração em estoque fosse suficiente para alimentar a todos até o fim do mês, garantindo, para cada cão, uma mesma porção diária da ração.  Qual a quantidade de ração, em grama, que deverá ser dada diariamente para cada cão, do dia 11 de junho até o final desse mês?",306,500,510,653,980
QUESTÃO 164,"A figura ilustra uma roda-gigante no exato instante em que a cadeira onde se encontra a pessoa P está no ponto mais alto dessa roda-gigante.  Descrição da figura: A figura representa uma roda-gigante, cujos suportes estão apoiados ao solo, no instante em que a cadeira onde se encontra uma pessoa P está no ponto mais alto dessa roda. Uma seta indica que a  roda-gigante gira no sentido horário. (Fim da descrição)   Com o passar do tempo, à medida que a roda-gigante gira, com velocidade constante e no sentido horário, a altura da cadeira onde se encontra a pessoa P, em relação ao solo, vai se alterando.   O gráfico que melhor representa a variação dessa altura, em função do tempo, contado a partir do instante em que a cadeira da pessoa P se encontra na posição mais alta da roda-gigante, é  Descrição das alternativas: Em cada alternativa há a representação de um gráfico cartesiano, em que o eixo horizontal representa o tempo; e o eixo vertical representa a altura da cadeira onde está a pessoa P em relação ao solo. Todos os gráficos são curvas contínuas que oscilam de um valor máximo a um valor mínimo, sendo o valor mínimo positivo, e iniciam no ponto de abscissa 0 e ordenada igual ao valor máximo.",O gráfico é representado por uma cossenoide.,"O gráfico é representado por uma linha poligonal formada por  4 segmentos de reta de mesmo comprimento, decrescentes e crescentes alternadamente.","O gráfico é representado por uma linha poligonal formada por  7 segmentos de reta, 4 deles decrescentes e crescentes alternadamente e de mesmo comprimento, interligados por  3 segmentos de reta horizontais de mesmo comprimento.","O gráfico é representado por 3 arcos de parábolas com concavidade para baixo, formando uma única curva contínua.","O gráfico é representado por 2 arcos de parábolas com concavidade para cima, formando uma única curva contínua. (Fim da descrição)"
QUESTÃO 165,"No alojamento de uma universidade, há alguns quartos com o padrão superior ao dos demais. Um desses quartos ficou disponível, e muitos estudantes se candidataram para morar no local. Para escolher quem ficará com o quarto, um sorteio será rea lizado. Para esse sorteio, cartões individuais com os nomes de todos os estudantes inscritos serão depositados em uma urna, sendo que, para cada estudante de primeiro ano, será depositado um único cartão com seu nome; para cada estudante de segundo ano, dois cartões com seu nome; e, para cada estudante de terceiro ano, três cartões com seu nome. Foram inscritos 200 estudantes de primeiro ano, 150 de segundo ano e 100 de terceiro ano. Todos os cartões têm a mesma probabilidade de serem sorteados.  Qual a probabilidade de o vencedor do sorteio ser um estudante de terceiro ano?",Um meio .,Um terço .,Um oitavo .,Dois nonos .,Três oitavos .
QUESTÃO 166,"A água utilizada pelos 75 moradores de um vilarejo provém de um reservatório de formato cilíndrico circular reto cujo raio da base mede 5 metros, sempre abastecido no primeiro dia de cada mês por caminhões-pipa. Cada morador desse vilarejo consome, em média, 200 litros de água por dia. No mês de junho de um determinado ano, o vilarejo festejou o dia do seu padroeiro e houve um gasto extra de água nos primeiros 20 dias. Passado esse período, as pessoas verificaram a quantidade de água presente no reservatório e constataram que o nível da coluna de água estava em 1,5 metro. Decidiram, então, fazer um racionamento de água durante os 10 dias seguintes.  Considere 3 como aproximação para pi .  Qual é a quantidade mínima de água, em litro, que cada morador, em média, deverá economizar por dia, de modo que o reservatório não fique sem água nos próximos 10 dias?",50,60,80,140,150
QUESTÃO 167,"Em janeiro do ano passado, a direção de uma fábrica abriu uma creche para os filhos de seus funcionários, com 10 salas, cada uma com capacidade para atender 10 crianças a cada ano. As vagas são sorteadas entre os filhos dos funcionários insc ritos, enquanto os não contemplados pelo sorteio formam uma lista de espera. No ano passado, a lista de espera teve 400 nomes e, neste ano, esse número cresceu 10 por cento . A direção da fábrica realizou uma pesquisa e constatou que a lista de espera para o próximo ano terá a mesma quantidade de nomes da lista de espera deste ano. Decidiu, então, construir, ao longo desse ano, novas salas para a creche, também com capacidade de atendimento para 10 crianças cada, de modo que o número de nomes na lista de espera no próximo ano seja 25 por cento menor que o deste ano.  O número mínimo de salas que deverão ser construídas é",10.,11.,13.,30.,33.
QUESTÃO 168,"A foto mostra a construção de uma cisterna destinada ao armazenamento de água. Uma cisterna como essa, na forma de cilindro circular reto com 3 metros quadrados de área da base, foi abastecida por um curso-d'água com vazão constante. O seu proprietário registrou a altura do nível da água no interior da cisterna durante o abastecimento em diferentes momentos de um mesmo dia, conforme o quadro.   Descrição do quadro: Quadro que fornece o nível da água, em metro, em quatro horários.  6 horas: 0,5 metro  8 horas: 1,1 metro  12 horas: 2,3 metros  15 horas: 3,2 metros  (Fim da descrição)     Descrição da foto: Foto em preto e branco de pessoas construindo uma cisterna em frente a uma casa. (Fim da descrição)   Qual foi a vazão, em metro cúbico por hora, do curso-d'água que abasteceu a cisterna?","0,3","0,5","0,9","1,8","2,7"
QUESTÃO 169,"Num certo momento de um jogo digital, a tela apresenta a imagem representada na figura. O ponto Q índice 1 representa a posição de um jogador que está com a bola, os pontos Q índice 2, Q índice 3, Q índice 4, Q índice 5 e Q índice 6 também indicam posições de jogadores da mesma equipe, e os pontos A e B indicam os dois pés da trave mais próxima deles. No momento da partida retratado, o jogador Q índice 1 tem a posse da bola, que será p assada para um dos outros jogadores das posições Q índice n, tal que n pertence ao conjunto formado pelos elementos 2, 3, 4, 5, 6 , cujo ângulo  A, Q índice n, B tenha a mesma medida do ângulo alfa que é igual a ângulo A, Q índice 1, B.  Descrição da figura: A figura apresenta um campo de futebol, no qual os pontos A e B marcam as extremidades de uma das traves; o ponto Q índice 1 é vértice do triângulo A, Q índice 1, B, e o ângulo A, Q índice 1, B mede alfa graus.  A figura apresenta, também, cinco circunferências:  circunferência 1 passa pelos pontos A, Q índice 4 e B; circunferência 2 passa pelos pontos A, Q índice 2 e B; circunferência 3 passa pelos pontos A, Q índice 3, Q índice 1 e B; circunferência 4 passa pelos pontos A, Q índice 5 e B;  circunferência 5 passa pelos pontos A, Q índice 6 e B.  O raio da circunferência 1 é menor que o raio da circunferência 2, que é menor  que o raio da circunferência 3, que é menor que o raio da circunferência 4, que é menor que o raio da circunferência 5. (Fim da descrição)    Qual é o jogador que receberá a bola?",Q índice 2,Q índice 3,Q índice 4,Q índice 5,Q índice 6
QUESTÃO 170,"O triângulo da figura é denominado triângulo mágico. Nos círculos, escrevem-se os números de 1 a 6, sem repetição, com um número em cada círculo. O objetivo é distribuir os números de forma que a soma dos números em cada lado do triângulo seja igual.  Descrição da figura: A figura apresenta um triângulo. Em cada vértice e em cada ponto médio dos lados do triângulo, há um círculo. (Fim da descrição)   Considere que os números colocados nos vértices do triângulo estejam em progressão aritmética de razão igual a 2.  Nas condições propostas, quais as possíveis soluções para as somas dos números que formam os lados do triângulo?","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 7.","Há somente uma solução possível, e as somas em cada lado do triângulo são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 7 e outra em que as somas são iguais a 9.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 9 e outra em que as somas são iguais a 12.","Há somente duas soluções possíveis, uma em que as somas em cada lado do triângulo são iguais a 10 e outra em que as somas são iguais a 11."
QUESTÃO 171,"O gerente de uma fábrica pretende comparar a evolução das vendas de dois produtos similares ( 1 e 2). Para isso, passou a verificar o número de unidades vendidas de cada um desses produtos em cada mês. Os resultados dessa verificação, para os meses de abril a junho, são apresentados na tabela.   Descrição da tabela: Tabela que apresenta as quantidades de unidades vendidas em abril, em maio e em junho, dos produtos 1 e 2.  Produto 1: 80 em abril, 90 em maio e 100 em junho.  Produto 2: 190 em abril, 170 em maio e 150 em junho. (Fim da descrição)   O gerente estava decidido a cessar a produção do produto 2 no mês seguinte àquele em que as vendas do produto 1 superassem as do produto 2 . Suponha que a variação na quantidade de unidades vendidas dos produtos 1 e 2 se manteve, mês a mês, como no período representado na tabela.   Em qual mês o produto 2 parou de ser produzido?",Junho.,Julho.,Agosto.,Setembro.,Outubro.
QUESTÃO 172,"Uma empresa de transporte faz regularmente um levantamento do número de viagens realizadas durante o dia por todos os 160 motoristas cadastrados em seu aplicativo. Em um certo dia, foi gerado um relatório, por meio de um gráfico de barras, no qual se relacionaram a quantidade de motoristas com a quantidade de viagens realizadas até aquele instante do dia.  Descrição do gráfico: Gráfico de barras que associa o número de viagens realizadas à quantidade de motoristas que realizaram essas viagens.  1 viagem: 10 motoristas  2 viagens: 10 motoristas  3 viagens: 55 motoristas  4 viagens: 25 motoristas  5 viagens: 0 motorista  6 viagens: 50 motoristas  7 viagens: 10 motoristas  (Fim da descrição)    Comparando os valores da média, da mediana e da moda da distribuição das quantidades de viagens realizadas pelos motoristas cadastrados nessa empresa, obtém-se",mediana igual a média menor que moda.,mediana igual a moda menor que média .,mediana menor que média menor que moda .,moda menor que média menor que mediana .,moda menor que mediana menor que média .
QUESTÃO 173,"Uma pessoa pratica quatro atividades físicas – caminhar, correr, andar de bicicleta e jogar futebol – como parte de seu programa de emagrecimento. Essas atividades são praticadas semanalmente de acordo com o quadro, que apresenta o número de horas diárias por atividade.  Descrição do quadro: Quadro que apresenta as quantidades de horas diárias gastas em quatro atividades: caminhar; correr; andar de bicicleta e jogar futebol, em cinco dias da semana.  Segunda-feira; 1,0; 0,5; 0,0 e 2,0. Terça-feira; 0,5; 1,0; 0,5 e 1,0. Quarta-feira; 0,0; 1,5; 1,0 e 0,5. Quinta-feira; 0,0; 2,0; 0,0 e 0,0. Sexta-feira; 0,0; 0,5; 0,0 e 2,5. (Fim da descrição)   Ela deseja comemorar seu aniversário e escolhe o dia da semana em que o gasto calórico com as atividades físicas praticadas for o maior. Para tanto, considera que os valores dos gastos calóricos das atividades por hora ( caloria por hora ) são os seguintes:   Descrição do quadro: Quadro apresenta o gasto calórico, em caloria por hora, das atividades físicas.  Caminhar: 248 Correr: 764 Andar de bicicleta: 3 56 Jogar futebol: 492  (Fim da descrição)   O dia da semana em que será comemorado o aniversário é",segunda-feira.,terça-feira.,quarta-feira.,quinta-feira.,sexta-feira.
QUESTÃO 174,"A cada bimestre, a diretora de uma escola compra uma quantidade de folhas de papel ofício proporcional ao número de alunos matriculados. No bimestre passado, ela comprou 6000 folhas para serem utilizadas pelos 1200 alunos matriculados. Neste bimestre, algu ns alunos cancelaram suas matrículas e a escola tem, agora, 1150 alunos. A diretora só pode gastar 220 reais nessa compra, e sabe que o fornecedor da escola vende as folhas de papel ofício em embalagens de 100 unidades a 4 reais a embalagem. Assim, será preciso convencer o fornecedor a dar um desconto à escola, de modo que seja possível comprar a quantidade total de papel ofício necessária para o bimestre.  O desconto necessário no preço final da compra, em porcentagem, pertence ao intervalo","(5,0; 5,5).","(8,0; 8,5).","(11,5; 12,5).","(19,5; 20,5).","(3,5; 4,0)."
QUESTÃO 175,"Alguns estudos comprovam que os carboidratos fornecem energia ao corpo, preservam as proteínas estruturais dos músculos durante a prática de atividade física e ainda dão força para o cérebro co ordenar os movimentos, o que de fato tem impacto positivo no desenvolvimento do praticante. O ideal é consumir 1 grama de carboidrato para cada minuto de caminhada. Um casal realizará diariamente 30 minutos de caminhada, ingerindo, antes dessa atividade, a quantidade ideal de carboidratos recomendada. Para ter o consumo ideal apenas por meio do consumo de pão de fôrma integral, o casal planeja garantir o suprimento de pães para um período de 30 dias ininterruptos. Sabe-se que cada pacote desse pão vem com 1 8 fatias, e que cada uma delas tem 15 gramas de carboidratos.  A quantidade mínima de pacotes de pão de fôrma necessários para prover o suprimento a esse casal é",1.,4.,6.,7.,8.
QUESTÃO 176,"O mastro de uma bandeira foi instalado perpendicularmente ao solo em uma região plana. Devido aos fortes ventos, três cabos de aço, de mesmo comprimento, serão instalados para dar sustentação ao mastro. Cada cabo de aço ficará perfeitamente esticado, com uma extremidade num ponto P do mastro, a uma altura h do solo, e a outra extremidade, num ponto no chão, como mostra a figura.  Descrição da figura: A figura representa o mastro de uma bandeira instalado perpendicularmente ao solo de uma região plana. No mastro há um ponto P, a uma altura h do solo, que é vértice comum a três triângulos; os outros dois vértices de cada triângulo são: o ponto de fixação do mastro no chão e o ponto de fixação de um cabo no chão. Em cada triângulo, o ângulo oposto ao lado que contém parte do mastro mede alfa. (Fim da descrição)   Os cabos de aço formam um ângulo alfa com o plano do chão.  Por medida de segurança, há apenas três opções de instalação:  • opção 1: h é igual a 11 metros e alfa é igual a 30 graus  • opção 2: h é igual a 12 metros e alfa é igual a 45 graus  • opção 3: h é igual a 18 metros e alfa é igual a 60 graus   A opção a ser escolhida é aquela em que a medida dos cabos seja a menor possível.  Qual será a medida, em metro, de cada um dos cabos a serem instalados?",Fração com numerador 22 vezes raiz quadrada de 3 e denominador 3,11 vezes raiz quadrada de 2,12 vezes raiz quadrada de 2, 12 vezes raiz quadrada de 3,22  
QUESTÃO 177,  "Um controlador de voo dispõe de um instrumento que descreve a altitude de uma aeronave em voo, em função da distância em solo. Essa distância em solo é a medida na horizontal entre o ponto de origem do voo até o ponto que representa a projeção ortogonal da posição da aeronave, em voo, no solo. Essas duas grandezas são dadas numa mesma unidade de medida.  A tela do instrumento representa proporcionalmente as dimensões reais das distâncias associadas ao voo. A figura apresenta a tela do instrumento depois de concluída a viagem de um avião, sendo a medida do lado de cada quadradinho da malha igual a 1 centímetro .  Descrição do gráfico : Gráfico cartesiano, em que o eixo horizontal indica a distância, e o eixo vertical indica a altitude, sendo a unidade de medida em cada um dos eixos igual à medida do lado do quadradinho da malha que é igual a 1 centímetro. O gráfico é formado por cinco segmentos de reta que representam a trajetória desde o ponto de origem do voo até seu ponto de destino.  Segmento 1: de (0 ; 0) a (2 ; 1). Segmento 2: de (2 ; 1) a (7 ; 1). Segmento 3: de (7 ; 1) a (9 ; 0,5).  Segmento 4: de (9 ; 0,5) a (10 ; 0,5).  Segmento 5: de (10 ; 0,5) a (12 ; 0). (Fim da descrição)   Essa tela apresenta os dados de um voo cuja maior altitude alcançada foi de  5 quilômetros .  A escala em que essa tela representa as medidas reais é",1 para 5.,1 para 11.,1 para 55.,1 para 5000.,1 para 500.000.
QUESTÃO 178,"O calendário maia apresenta duas contagens simultâneas de anos, o chamado ano Tzolkim, composto por 260 dias e que determinava o calendário religioso, e o ano Haab, composto por 365 dias e que determinava o calendário agrícola. Um historiador encontrou evidências de que gerações de uma mesma família governaram certa comunidade maia pelo período de 20 ciclos, sendo cada ciclo formado por 52 anos Haab.  De acordo com as informações fornecidas, durante quantos anos Tzolkim aquela comunidade maia foi governada por tal família?",741,1040,1460,2100,5200
QUESTÃO 179,"Sejam a, b e c as medidas dos lados de um triângulo retângulo, tendo a como medida da hipotenusa. Esses valores a, b e c são, respectivamente, os diâmetros dos círculos C índice 1 , C índice 2 e C índice 3 , como apresentados na figura.   Descrição da figura: A figura apresenta um triângulo retângulo de lados a, b e c; o círculo C índice 1 , que tem o lado a do triângulo como diâmetro; o círculo C índice 2 , que tem o lado b do triângulo como diâmetro, e o círculo C índice 3 , que tem o lado c do triângulo como diâmetro. (Fim da descrição)    Essa construção assegura, pelo teorema de Pitágoras , que área de C índice 1 é igual a área de C índice 2 mais área de C índice 3 . Um professor de matemática era conhecedor dessa construção e, confraternizando com dois amigos em uma pizzaria onde são vendidas pizzas somente em formato de círculo, lançou um desafio: mesmo sem usar um instrumento de medição, poderia afirmar com certeza se a área do círculo correspondente à pizza que ele pedisse era maior, igual ou menor do que a soma das áreas das pizzas dos dois amigos. Assim, foram pedidas três pizzas. O professor as dividiu ao meio e formou um triângulo com os diâmetros das pizzas, conforme indicado na figura.   Descrição da figura: Figura de um triângulo, em que um dos ângulos tem medida igual a alfa e cada um de seus lados é diâmetro de um semicírculo. O semicírculo, cujo diâmetro é o lado oposto ao ângulo alfa, representa a meia pizza do professor de matemática; os outros dois semicírculos representam a meia pizza do amigo 1 e a meia pizza do amigo 2. (Fim da descrição)    A partir da medida do ângulo alfa , o professor afirmou que a área de sua pizza é maior do que a soma das áreas das outras duas pizzas.  A área da pizza do professor de matemática é maior do que a soma das áreas das outras duas pizzas, pois",zero grau menor que alfa menor que 90 graus.,alfa igual a 90 graus.,90 graus menor que alfa menor que 180 graus.,alfa igual a 180 graus.,180 graus menor que alfa menor que 360 graus.
QUESTÃO 180,"Entre maratonistas, um parâmetro utilizado é o de economia de corrida (EC). O valor desse parâmetro é calculado pela razão entre o consumo de oxigênio, em mililitro (mL) por minuto (min), e a massa, em quilograma (kg), do atleta correndo a uma velocidade constante. Um maratonista, visando melhorar sua performance, auxiliado por um médico, mensura o seu consumo de oxigênio por minuto a velocidade constante. Com base nesse consumo e na massa do atleta, o médico calcula o EC do atleta.  A unidade de medida da grandeza descrita pelo parâmetro EC é",fração com numerador min e denominador abre parêntese mL vezes kg fecha parêntese.,fração com numerador mL e denominador abre parêntese min vezes kg fecha parêntese.,fração com numerador abre parêntese min vezes mL e denominador kg.,fração com numerador min vezes kg fecha parêntese e denominador mL.,fração com numerador abre parêntese mL vezes kg fecha parêntese e denominador min.
