question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 91,"Megaespetáculos com queima de grande quantidade de fogos de artifício em festas de final de ano são muito comuns no Brasil. Após a queima, grande quantidade de material particulado permanece suspensa no ar. Entre os resíduos, encontram-se compostos de sódio, potássio, bário, cálcio, chumbo, antimônio, cromo, além de percloratos e gases, como os dióxidos de nitrogênio e enxofre. Esses espetáculos promovem riscos ambientais, porque",as substâncias resultantes da queima de fogos de artifício são inflamáveis.,os resíduos produzidos na queima de fogos de artifício ainda são explosivos.,o sódio e o potássio são os principais responsáveis pela toxicidade do produto da queima.,os produtos da queima contêm metais pesados e gases tóxicos que resultam em poluição atmosférica.,o material particulado gerado se deposita na superfície das folhas das plantas impedindo os processos de respiração celular.,2020,91,CN,D,portuguese
QUESTÃO 92,"Há muitos mitos em relação a como se proteger de raios: cobrir espelhos e não pegar em facas, garfos e outros objetos metálicos, por exemplo. Mas, de fato, se houver uma tempestade com raios, alguns cuidados são importantes, como evitar ambientes abertos. Um bom abrigo para proteção é o interior de um automóvel, desde que este não seja conversível. Qual o motivo físico da proteção fornecida pelos automóveis, conforme citado no texto?",Isolamento elétrico dos pneus.,Efeito de para-raios da antena.,Blindagem pela carcaça metálica.,Escoamento da água pela lataria.,Aterramento pelo fio terra da bateria.,2020,92,CN,C,portuguese
QUESTÃO 93,"As moedas despertam o interesse de colecionadores, numismatas e investidores há bastante tempo. Uma moeda de 100 por cento cobre, circulante no período do Brasil Colônia, pode ser bastante valiosa. O elevado valor gera a necessidade de realização de testes que validem a procedência da moeda, bem como a veracidade de sua composição. Sabendo que a densidade do cobre metálico é próxima de 9 gramas por centímetro cúbico , um investidor negocia a aquisição de um lote de quatro moedas, A, B, C e D, fabricadas supostamente de 100 por cento cobre e massas 26 gramas, 27 gramas, 10 gramas e 36 gramas, respectivamente. Com o objetivo de testar a densidade das moedas, foi realizado um procedimento em que elas foram sequencialmente inseridas em uma proveta contendo 5 mililitros de água, conforme esquematizado. Descrição do esquema gráfico: Esquema gráfico com a representação de cinco cilindros (provetas) que contêm água e moedas. Da esquerda para a direita. A primeira proveta contém apenas água, para a qual o eixo vertical do gráfico indica um volume de água igual a 5 mililitros. Na segunda proveta a moeda A está imersa em água, de modo a indicar no eixo vertical um volume total igual a 7 mililitros. Na terceira proveta encontram-se imersas em água uma moeda A e uma moeda B, totalizando um volume de 10 mililitros no eixo vertical do gráfico. Na quarta proveta há três moedas imersas: A, B e C, totalizando um volume de 12 mililitros. Na quinta proveta há quatro moedas imersas em água: A, B, C e D, totalizando um volume de 16 mililitros. Com base nos dados obtidos, o investidor adquiriu as moedas",A e B.,A e C.,B e C.,B e D.,C e D.,2020,93,CN,D,portuguese
QUESTÃO 94,"Os diferentes tipos de café que consumimos nem sempre vêm da mesma espécie de planta. As duas espécies de café mais utilizadas são Coffea canephora e Coffea arabica . A primeira é diploide (2 vezes n é igual a 22) e a segunda é tetraploide (2 vezes n é igual a 44). Acredita-se que a espécie tetraploide surgiu de um cruzamento natural entre C . canephora e C . eugenioides , ambas diploides, há milhões de anos. De fato, as análises genéticas atuais nos cromossomos de C . arabica detectam os alelos de ambas as origens. A alteração cromossômica que poderia explicar o surgimento do café da espécie C . arabica é:",Duplicação em uma das plantas parentais antes do cruzamento.,Inversão durante a meiose gamética em ambas as plantas parentais.,Separação desigual na meiose gamética de uma das plantas parentais.,Falha na separação durante a meiose gamética em ambas as plantas parentais.,Deleções durante as primeiras mitoses zigóticas na planta descendente C . arabica .,2020,94,CN,anulada,portuguese
QUESTÃO 95,"Os manuais de refrigerador apresentam a recomendação de que o equipamento não deve ser instalado próximo a fontes de calor, como fogão e aquecedores, ou em local onde incida diretamente a luz do sol. A instalação em local inadequado prejudica o funcionamento do refrigerador e aumenta o consumo de energia. O não atendimento dessa recomendação resulta em aumento do consumo de energia porque",o fluxo de calor por condução no condensador sofre considerável redução.,a temperatura da substância refrigerante no condensador diminui mais rapidamente.,o fluxo de calor promove significativa elevação da temperatura no interior do refrigerador.,a liquefação da substância refrigerante no condensador exige mais trabalho do compressor.,as correntes de convecção nas proximidades do condensador ocorrem com maior dificuldade.,2020,95,CN,D,portuguese
QUESTÃO 96,"Durante a realização de uma partida de futebol, os jogadores perceberam que a bola estava murcha. Para calibrar a bola, um jogador utilizou uma bomba pneumática manual, composta por um êmbolo que desliza no interior de um cilindro feito de plástico. No processo de calibração da bola, o jogador percebeu que a parte final da bomba em contato com sua mão, e que fica mais próxima ao bico da bomba, ficou bem quente. O significativo aquecimento notado pelo jogador deve-se ao(à)",atrito sucessivo entre o êmbolo e as paredes internas da bomba.,transferência de calor por condução das mãos do jogador para a bomba.,aumento da energia interna do ar contido na bomba a cada compressão promovida.,turbilhonamento promovido nas porções de ar confinadas acima e abaixo do êmbolo.,expansão do ar na saída pela parte inferior da bomba a cada compressão promovida.,2020,96,CN,C,portuguese
QUESTÃO 97,"A Torre Eiffel, com seus 324 metros de altura, feita com treliças de ferro, pesava 7 300 toneladas quando terminou de ser construída em 1889. Um arquiteto resolve construir um protótipo dessa torre em escala 1 para 100, usando os mesmos materiais (cada dimensão linear em escala de 1 para 100 do monumento real). Considere que a torre real tenha uma massa M1 e exerça na fundação sobre a qual foi erguida uma pressão P1. O modelo construído pelo arquiteto terá uma massa M2 e exercerá uma pressão P2. Como a pressão exercida pela torre se compara com a pressão exercida pelo protótipo? Ou seja, qual é o valor da razão entre as pressões (P1 dividido por P2)?",10 elevado a zero .,10 elevado a um .,10 elevado a dois .,10 elevado a quatro .,10 elevado a seis .,2020,97,CN,C,portuguese
QUESTÃO 98,"Um chuveiro elétrico foi instalado indevidamente, de forma que, quando é ligado com a chave seletora na posição inverno, a água fica com temperatura baixa. Verifica-se que o chuveiro está ligado a um disjuntor de 50 ampères e a corrente medida é de cerca de 30 ampères. A potência do chuveiro, como especificado, é de 4 400 watts na tensão de 110 volts. Para aquecer a água até a temperatura máxima, pode-se",diminuir o comprimento da resistência elétrica do chuveiro.,substituir o fio que alimenta o chuveiro por outro de menor diâmetro.,instalar um resistor em série com a resistência do chuveiro.,ligar o chuveiro a um disjuntor de menor amperagem.,trocar sua resistência elétrica por outra de maior resistividade.,2020,98,CN,A,portuguese
QUESTÃO 99,"A Química Verde é um ramo da química que prega o desenvolvimento de processos eficientes, que transformem a maior parte do reagente em produto, de forma mais rápida e seletiva, que utilizem poucos reagentes, que produzam somente o produto desejado, evitando a formação de coprodutos, e que utilizem solventes não agressivos ao meio ambiente. Assim, as indústrias contornariam problemas relacionados à poluição ambiental e ao desperdício de água e energia. O perfil de um processo que segue todos os princípios desse ramo da química pode ser representado por:",Os reagentes A mais B mais C formam o produto D. A reação ocorre a altas pressões.,Os reagentes A mais B formam os produtos C mais D. A reação é fortemente endotérmica.,Os reagentes A mais 3 B formam o produto C. A reação ocorre com uso de solvente orgânico.,"Os reagentes 3 A mais 2 B formam o produto 2 C, que se transforma nos produtos 3 D mais 2 E. A reação ocorre sob pressão atmosférica.","Os reagentes A mais 0,5 B formam o produto C. A reação ocorre com o uso de um catalisador contendo um metal não tóxico.",2020,99,CN,E,portuguese
QUESTÃO 100,"O diapasão de garfo é um instrumento metálico em forma de forquilha, que serve para afinar instrumentos musicais. Para isso, o diapasão é feito para vibrar e o som de determinada altura por ele emitido é comparado com o som emitido pelo instrumento. O ajuste ocorre até que o instrumento emita um som de mesma característica que a do diapasão. Qual característica do som deve ser ajustada?",Amplitude.,Frequência.,Intensidade.,Timbre.,Velocidade de propagação.,2020,100,CN,B,portuguese
QUESTÃO 101,"Os satélites artificiais que estão em órbita em torno da Terra possuem circuitos elétricos que necessitam de energia elétrica para funcionar. A demanda energética não é muito grande, mas de alguma forma o circuito do satélite deve ser alimentado. Considerando a disponibilidade energética, as questões de ordem econômica e os riscos decorrentes da utilização de certa fonte de energia, a melhor alternativa para alimentar os circuitos elétricos do satélite é a partir de",células solares.,pilhas alcalinas.,biocombustíveis.,combustíveis fósseis.,reatores termonucleares.,2020,101,CN,A,portuguese
QUESTÃO 102,"Caso um astronauta, no interior de uma estação espacial em órbita em torno da Terra, tente medir seu peso em uma balança convencional, essa não indicará nenhum valor. A interpretação científica para esse fato é que a aceleração gravitacional terrestre","tende a zero, devido à grande distância da Terra.","inexiste fora da atmosfera da Terra, devido à ausência de ar.","anula-se com a aceleração da gravidade lunar, devido à proximidade da Lua.","mantém o mesmo movimento orbital para o astronauta e a balança, devido à ação igual em ambos.","não atua em corpos que se encontram no vácuo, devido ao fato de tal meio não permitir a existência de forças.",2020,102,CN,D,portuguese
QUESTÃO 103,"Dois engenheiros estão verificando se uma cavidade perfurada no solo está de acordo com o planejamento de uma obra, cuja profundidade requerida é de 30 metros. O teste é feito por um dispositivo denominado oscilador de áudio de frequência variável, que permite relacionar a profundidade com os valores da frequência de duas ressonâncias consecutivas, assim como em um tubo sonoro fechado. A menor frequência de ressonância que o aparelho mediu foi 135 hertz. Considere que a velocidade do som dentro da cavidade perfurada é de 360 metros por segundo . Se a profundidade estiver de acordo com o projeto, qual será o valor da próxima frequência de ressonância que será medida?",137 hertz.,138 hertz.,141 hertz.,144 hertz.,159 hertz.,2020,103,CN,C,portuguese
QUESTÃO 104,"Instituições acadêmicas e de pesquisa no mundo estão inserindo genes em genomas de plantas que possam codificar produtos de interesse farmacológico. No Brasil, está sendo desenvolvida uma variedade de soja com um viricida ou microbicida capaz de prevenir a contaminação pelo vírus causador da aids. Essa leguminosa está sendo induzida a produzir a enzima cianovirina-N, que tem eficiência comprovada contra o vírus. A técnica para gerar essa leguminosa é um exemplo de",hibridismo.,transgenia.,conjugação.,terapia gênica.,melhoramento genético.,2020,104,CN,B,portuguese
QUESTÃO 105,"Pesquisadores coletaram amostras de água de um rio em pontos diferentes, distantes alguns quilômetros um do outro. Ao longo do rio, há locais de águas limpas, como também locais que recebem descarga de esgoto de área urbana, e locais onde há decomposição ativa com ausência de peixes. Os pesquisadores analisaram dois parâmetros: oxigênio dissolvido (OD) e demanda bioquímica de oxigênio (DBO) em cada ponto de coleta de água, obtendo o gráfico: Descrição do gráfico: O gráfico apresenta no eixo x os pontos de amostragem e no eixo y os parâmetros OD e DBO (miligrama por litro). O ponto de amostragem 1 tem OD igual a 4 e DBO igual a 13. O ponto de amostragem 2 tem OD igual a 2 e DBO igual a 7. O ponto de amostragem 3 tem OD igual a 0,9 e DBO igual a 1,8. O ponto de amostragem 4 tem OD igual a 3 e DBO igual a 4. O ponto de amostragem 5 tem OD igual a 6 e DBO igual a 4. Valores limites permitidos para águas doces destinadas ao abastecimento para o consumo humano após tratamento convencional, segundo Resolução Conama número 357/2005: OD maior ou igual a 5 miligramas por litro e DBO menor ou igual a 5 miligramas por litro.  O OD é proveniente da atmosfera e da fotossíntese que ocorre no curso-d’água e sua concentração é função das variáveis físicas, químicas e bioquímicas locais. A DBO é a quantidade de oxigênio consumido por microrganismos em condições aeróbicas para degradar uma determinada quantidade de matéria orgânica, durante um período de tempo, numa temperatura de incubação específica.  Qual ponto de amostragem da água do rio está mais próximo ao local em que o rio recebe despejo de esgoto?",1,2,3,4,5,2020,105,CN,A,portuguese
QUESTÃO 106,"O c rescimento da frota de veículos em circulação no mundo tem levado à busca e desenvolvimento de tecnologias que permitam minimizar emissões de poluentes atmosféricos. O uso de veículos elétricos é uma das propostas mais propagandeadas por serem de emissão zero. Podemos comparar a emissão de carbono na forma de CO2 (massa molar igual a 44 gramas por mol, fecha parentêse, para os dois tipos de carros (a combustão e elétrico). Considere que os veículos tradicionais a combustão, movidos a etanol (massa molar igual a 46 gramas por mol) emitem uma média de 2,6 mol de CO2 por quilômetro rodado, e os elétricos emitem o equivalente a 0,45 mol de CO2 por quilômetro rodado (considerando as emissões na geração e transmissão da eletricidade). A reação de combustão do etanol pode ser representada pela equação quí mica: Descrição da equação química: Os reagentes C2H5OH (líquido) mais 3 O2 (gasoso) formam os produtos 2 CO2 (gasoso) mais 3 H2O (gasoso). Foram analisadas as emissões de CO 2 envolvidas em dois veículos, um movido a etanol e outro elétrico, em um mesmo trajeto de 1 000 quilômetros . A quantidade equivalente de etanol economizada, em quilograma, com o uso do veículo elétrico nesse trajeto, é mais próxima de:",50.,60.,95.,99.,120.,2020,106,CN,A,portuguese
QUESTÃO 107,"A Síndrome Respiratória do Oriente Médio (MERS) tem preocupado o mundo, em especial pelas semelhanças com a Síndrome Respiratória Aguda Grave (SARS) e pela letalidade. As pessoas acometidas podem apresentar febre, tosse, dificuldade de respirar, náuseas e diarreia. Causada por um coronavírus, a doença espalha-se facilmente, pelo contato com indivíduos infectados. Qual forma de prevenção pode, emergencialmente, auxiliar no controle da disseminação dessa epidemia?",Evitar o frio.,Utilizar antitérmicos.,Ter hábitos de vida saudáveis.,Melhorar o saneamento básico.,Usar máscaras de proteção facial.,2020,107,CN,E,portuguese
QUESTÃO 108,"Embora a energia nuclear possa ser utilizada para fins pacíficos, recentes conflitos geopolíticos têm trazido preocupações em várias partes do planeta e estimulado discussões visando o combate ao uso de armas de destruição em massa. Além do potencial destrutivo da bomba atômica, uma grande preocupação associada ao emprego desse artefato bélico é a poeira radioativa deixada após a bomba ser detonada. Qual é o processo envolvido na detonação dessa bomba?","Fissão nuclear do urânio, provocada por nêutrons.","Fusão nuclear do hidrogênio, provocada por prótons.","Desintegração nuclear do plutônio, provocada por elétrons.","Associação em cadeia de chumbo, provocada por pósitrons.","Decaimento radioativo do carbono, provocado por partículas beta.",2020,108,CN,A,portuguese
QUESTÃO 109,"P lantas pioneiras são as que iniciam o processo natural de cicatrização de uma área desprovida de vegetação. Em geral, têm pequeno porte e crescem muito rápido, desenvolvem-se a pleno sol e são pouco exigentes quanto às condições do solo. Produzem grande quantidade de semente s e possuem ciclo de vida curto. Essas plantas são importantes em um projeto de restauração ambiental, pois promovem, no solo,",aumento da incidência de luz solar.,diminuição da absorção de água.,estabilização da umidade.,elevação de temperatura.,liberação de oxigênio.,2020,109,CN,C,portuguese
QUESTÃO 110,"Mesmo para peixes de aquário, como o peixe arco-íris, a temperatura da água fora da faixa ideal (26 graus Celsius a 28 graus Celsius) bem como sua variação brusca, pode afetar a saúde do animal. Para manter a temperatura da água dentro do aquário na média desejada, utilizam-se dispositivos de aquecimento com termostato. Por exemplo, para um aquário de 50 litros, pode-se utilizar um sistema de aquecimento de 50 watts otimizado para suprir sua taxa de resfriamento. Essa taxa pode ser considerada praticamente constante, já que a temperatura externa ao aquário é mantida pelas estufas. Utilize para a água o calor específico 4,0 quilojoule por quilograma por Kelvin e a densidade 1 quilograma por litro . Se o sistema de aquecimento for desligado por 1 hora, qual o valor mais próximo para a redução da temperatura da água do aquário?","4,0 graus Celsius","3,6 graus Celsius","0,9 grau Celsius","0,6 grau Celsius","0,3 grau Celsius",2020,110,CN,C,portuguese
QUESTÃO 111,"Um a mulher de 21 anos não tem filhos e apresenta um ciclo menstrual regular. Sua primeira menstruação do presente ano teve início no dia primeiro de janeiro. Ela teve uma única relação sexual naquele mês (no dia 4 de janeiro) sendo que nenhum método contraceptivo foi utilizado. Como até o dia 29 de janeiro ela não havia menstruado novamente, resolveu fazer um teste de gravidez, já que ela e seu parceiro não apresentavam problemas de infertilidade. O resultado foi negativo e, no dia seguinte (30 de janeiro) ela menstruou normalmente. De acordo com um ciclo menstrual regular, a mulher não ficou grávida porque a ovocitação (abre aspas, o vulação, fecha aspas) ocorreu cerca de",1 a 2 dias a pós a relação sexual.,9 a 11 dias após a relação sexual.,24 a 25 dias após a relação sexual.,6 a 7 dias antes da relação sexual.,2 a 3 dias antes da relação sexual.,2020,111,CN,B,portuguese
QUESTÃO 112,"O exame parasitológico de fezes é utilizado para detectar ovos de parasitos. Um dos métodos utilizados, denominado de centrífugo-flutuação, considera a densidade dos ovos em relação a uma solução de densidade 1,15 grama por mililitro . Assim, ovos que flutuam na superfície dessa solução são detectados. Os dados de densidade dos ovos de alguns parasitos estão apresentados na tabela. Descrição da tabela: A tabela apresenta duas colunas, uma com os nomes dos parasitos e outra com as densidades de seus ovos, da seguinte maneira: Ancylostoma : 1,06 grama por mililitro. Ascaris lumbricoides : 1,11 grama por mililitro. Ascaris suum : 1,13 grama por mililitro. Schistosoma mansoni : 1,18 grama por mililitro. Taenia saginata : 1,30 grama por mililitro. Considerando-se a densidade dos ovos e da solução, ovos de quais parasitos podem ser detectados por esse método?","A. lumbricoides, A. suum e S. mansoni.","S. mansoni, T. saginata e Ancylostoma .","Ancylostoma, A. lumbricoides e A. suum.","T. saginata, S. mansoni e A. lumbricoides.","A. lumbricoides, A. suum e T. saginata.",2020,112,CN,C,portuguese
